Crop_ID,Yield_Units_Harvested,Residue_Mass_Ratio,Surface_Decomp,Sub-surface_Decomp,'USLE_C_Fctr,Moisture_Depletion,Residue_Adjust_Amt,Crop_Residue_30%,Crop_Residue_60%,Crop_Residue_90%,Annual_Crop_Code,Legume_Code,Senescence_Code,Yield_Unit_Name,Yield_Unit_Mass,Harvest_C-N_Ratio,Pre-Harvest_C-N_Ratio,Harvest_Water,N_Uptake,P_Uptake,Harvest_C-P_Ratio,Pre-Harvest_C-P_Ratio,Growth_Time_Ini,Growth_Time_Dev,Growth_Time_Mat,Growth_Time_Sen,Growth_N_Uptake_Ini,Growth_N_Uptake_Dev,Growth_N_Uptake_Mat,Growth_N_Uptake_Sen,Growth_P_Uptake_Ini,Growth_P_Uptake_Dev,Growth_P_Uptake_Mat,Growth_P_Uptake_Sen,Basal_Crop_Coef_Ini,Basal_Crop_Coef_Dev,Basal_Crop_Coef_Mid,Basal_Crop_Coef_End,Basal_Crop_Coef_Climate_Adjust,Input_Units_Code
artichoke;_perennia3,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_perennia2,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_perennia1,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_annual,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,box,22,,,,,,,,,,,,,,,,,,,,,,,,,0
asparagus;_yr1_and_2,500,1,0.016,0.016,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
asparagus;_yr3+__hi_,3300,0.91,0.016,0.016,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
brocolli;_hi_prod,15000,0.19171428,0.02,0.02,,,,1050,2700,6750,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover_s.,4200,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cabbage;_hi_prod,39000,0.10923076,0.02,0.02,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cauliflower;_hi_prod,18300,1.10819672,0.02,0.02,,,,1050,2700,6750,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
celery;_hi_prod,6900,1.03043478,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lettuce;_leaf_hi_pro,25200,0.11035714,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lettuce;_head_hi_pro,35300,0.10934844,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mustard_greens;_hi_p,16250,0.11323076,0.016,0.016,,,,600,1600,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mustard_greens;_fall,7400,0.11405405,0.03,0.03,,,,600,1600,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
ryegrass;_ann;_seed1,1775,4.2,0.017,0.017,,,,640,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
clover;_red_/oat_nur,60,2,0.00797,0.00797,,,,600,1550,3850,,,,bushels,32,,,,,,,,,,,,,,,,,,,,,,,,,0
barley;_annual_wint4,2150,1.39934883,0.00797,0.00797,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
delayed_germination,1,1,0.02475525,0.02475525,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter_silag2,11,0.309091,0.017,0.017,,,,600,1550,3850,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_less_than_3_m,500,1,0.02475525,0.02475525,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
oats;_spring,60,2,0.00797,0.00797,,,,600,1550,3850,,,,bu,32,,,,,,,,,,,,,,,,,,,,,,,,,0
oats;_winter_s.e.,60,2,0.00797,0.00797,,,,600,1550,3850,,,,Bushels,32,,,,,,,,,,,,,,,,,,,,,,,,,0
oats;_fall_seeded;_h,2,1.125,0.017,0.017,,,,550,1420,3570,,,,ton,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter;_west_,60,1.44,0.00797,0.00797,,,,600,1550,3850,,,,Bushels,60,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_spring_7in_ro,30,1.3,0.00797,0.00797,,,,600,1550,3850,,,,bushels,60,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter;_grai1,40,1.7,0.00797,0.00797,,,,600,1550,3850,,,,Bushels,60,,,,,,,,,,,,,,,,,,,,,,,,,0
flowers;_seed,200,6.6,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
flowers,1000,1.2,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
alfalfa_seed_sw;_yr1,500,9.25,0.02,0.02,,,,650,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
alfalfa_seed_sw;_yr2,0.5,1,0.02,0.02,,,,650,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
bean;_green_snap_han,4000,0.6,0.03,0.03,,,,600,1600,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
beans;_garbonzo,1200,1.4,0.025,0.025,,,,600,1600,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
carrot;_processing,30,0.015,0.03,0.03,,,,600,1600,,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_sweet_hi_prod,14560,0.28022,0.016,0.016,,,,950,2400,6050,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_silage,23,0.35,0.016,0.016,,,,950,2400,6050,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
tall_fescue_pasture3,1500,1,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
tall_fescue_pasture2,1200,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
tall_fescue_pasture5,2000,1,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
peppers;_bell_hi_pro,31800,0.12,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
pumpkin,31700,0.06309148,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
raspberry;_black,4000,1,0.015,0.015,,,,1600,4150,8000,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
tomato;_fresh_mkt,300,0.08033333,0.03,0.03,,,,600,1600,3850,,,,cwt,100,,,,,,,,,,,,,,,,,,,,,,,,,0
barley;_annual_wint1,3000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
pine_bluegrass;_see1,1000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
fescue;_red;_seedin1,3000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
strawberry;_establis,1,1000,0.025,0.025,,,,1500,3000,3000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
strawberry;_annual;1,20000,0.1225,0.025,0.025,,,,1500,3000,3000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye_and_hairy_vetch2,5000,1,0.017,0.017,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
fescue;_annual_(zor1,3000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_less_than_6_m,1500,1,0.02,0.02,,,,600,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
brome;_annual_(blan1,3000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
1rome;_california;_1,3000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2rome;_california;_1,3000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
pine_blugrass;__est1,2000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
fescue;_red;_establ1,2000,1,0.017,0.017,,,,640,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_less_than_9_m,3000,1,0.017,0.017,,,,950,2400,6050,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
citrus;_bare_ground,20000,0.01,0.015,0.015,,,,1600,4150,8000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
orchard;_bare_ground,300,0.033,0.015,0.015,,,,1600,4150,8000,,,,cwt,100,,,,,,,,,,,,,,,,,,,,,,,,,0
pecan;_walnut;_bare_,2100,1.25,0.015,0.015,,,,1600,4150,8000,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
1ineyard;_establish1,4,0.0525,0.015,0.015,,,,1600,4150,8000,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
1ineyard;_establish2,4,0.1875,0.02,0.02,,,,600,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
barley;_annual_wint3,3000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lily;_cala_yr1,30,10,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lily;_cala_yr2,60,10,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lily;_cala_yr3,80,10,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lily;_cala_yr4+,110,10,0.03,0.03,,,,640,1650,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
strawberry;_annual;2,20000,0.15,0.025,0.025,,,,1500,3000,3000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye_and_hairy_vetch1,5000,1,0.017,0.017,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
grass;_cool_season13,2.5,1,0.017,0.017,,,,640,1650,4100,,,,Ton,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
grama;_yr_1,300,1,0.017,0.017,,,,640,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
turfgrass;_spring_se,1.5,1,0.03,0.03,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter_cover,4000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
ryegrass;_annual;_se,2,1,0.017,0.017,,,,640,1650,4100,,,,ton,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
oats;_fall_seeded_co,2000,0.45,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
alfalfa;_yr4_regrowt,1.75,1,0.02,0.02,,,,650,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
alfalfa;_yr4_senes_t,2,1,0.02,0.02,,,,650,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
bahiagrass;__not_har,8000,1,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
bermudagrass;_comm10,6000,1,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
grass;_cool_season2,2,1,0.017,0.017,,,,640,1650,4100,,,,ton,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
kentucky_bluegrass;9,3,1,0.017,0.017,,,,640,1650,4100,,,,ton,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
silt_fence,50,1,0.002,0.002,,,,500,1400,3400,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
straw_bale_barrier,50,1,0.00797,0.00797,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
vegetative_barrier_1,13.5,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
vegetative_barrier_2,13.5,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
vegetative_barrier_3,7,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
vegetative_barrier_4,10,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
vetiver_grass_barrie,27000,1,0.008,0.008,,,,640,1700,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
grass;_warm_season11,3,1,0.017,0.017,,,,640,1650,4100,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
watermelon1,17800,0.0758427,0.0301368,0.0301368,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
safflower,1400,1.5,0.0161,0.0161,,,,600,1550,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cantaloupe;_hi_prod,24800,0.087,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
sunflower,1400,2.1,0.02,0.02,,,,1600,4150,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
sorghum;_grain,60,1,0.016,0.016,,,,1050,2700,6750,,,,Bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
blueberry;_tall_bush,4000,0.85,0.015,0.015,,,,1600,4150,8000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
buckwheat,25,1.5,0.015,0.015,,,,500,1500,4000,,,,bu.,48,,,,,,,,,,,,,,,,,,,,,,,,,0
cucumber,600,0.06,0.03,0.03,,,,600,1600,3900,,,,bu,50,,,,,,,,,,,,,,,,,,,,,,,,,0
peas;_green;_rows,2860,0.21,0.03,0.03,,,,600,1600,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover,6000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
turnip;_fall,15500,0.09,0.03,0.03,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
canola;_winter,1100,2,0.0161,0.0161,,,,600,1550,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
potato;_irish,260,0.12,0.03,0.03,,,,600,1600,,,,,cwt,100,,,,,,,,,,,,,,,,,,,,,,,,,0
potato;_sweet,22000,0.11363636,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
tobacco;_flue_cured,2100,1.3,0.015,0.015,,,,1050,2700,6750,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
short_millets_or_cr7,5644.29741,1.06797389,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
onion;_dry_bulb;_vid,435,0.0444828,0.03,0.03,,,,600,1600,,,,,cwt,100,,,,,,,,,,,,,,,,,,,,,,,,,0
peanut;_runner,3000,1.3,0.015,0.015,,,,1050,2700,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
radish;_oilseed;_co2,3000,1,0.016,0.016,,,,600,1600,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_cereal,40,1.5,0.00797,0.00797,,,,600,1550,3850,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
squash,11600,0.237,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
switchgrass;_lower_m,10389.5634,1.05402821,0.017,0.017,,,,640,1650,4100,,,,lb,1,,,,,,,,,,,,,,,,,,,,,,,,,0
vetch;_hairy,4200,1,0.02,0.02,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cotton;_delta,750,6,0.015,0.015,,,,1600,4150,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
sorghum;_grain;_sout,60,1.41814141,0.016,0.016,,,,1050,2700,6750,,,,Bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
rice;_ar;_flooded,110,2.15,0.017,0.017,,,,600,1550,3850,,,,bu,45,,,,,,,,,,,,,,,,,,,,,,,,,0
weeds;_winter;_mid_s,1400,1,0.017,0.017,,,,950,2400,6050,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cranberries;_establi,16500,0.75,0.015,0.015,,,,1600,4150,8000,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
bean;_field_30in_row,1400,1,0.025,0.025,,,,600,1600,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_grain,112,1,0.016,0.016,,,,950,2400,6050,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
flax,15,1.42946,0.00797,0.00797,,,,600,1550,3850,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
lentils,1500,1.44,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
sugarbeet;_sugar,20,0.1,0.03,0.03,,,,600,1600,,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
eggplant1,11670,0.194276,0.016,0.016,,,,950,2400,6050,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_fall_seed,1800,1,0.02,0.02,,,,650,1650,4100,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_spring_seed_re,1300,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr2_regrowth_a,1800,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr2_senes_to_y,1900,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr3_regrowth_a,1800,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr3_senes_to_y,1900,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr4_regrowth_a,1800,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mint;_yr4_senes_to_y,1800,1,0.02,0.02,,,,650,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
sugarcane;_plus_wee1,34,1.3,0.016,0.016,,,,2000,3500,5000,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
sugarcane;_plus_wee2,34,1.3,0.016,0.016,,,,2000,3500,5000,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
sugarcane;_plus_wee3,34,1.3,0.016,0.016,,,,2000,3500,5000,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
soybean;_mw_7in_rows,20,1.5,0.025,0.025,,,,600,1600,3850,,,,bu,60,,,,,,,,,,,,,,,,,,,,,,,,,0
corn;_grain__18_in_1,112,1,0.016,0.016,,,,950,2400,6050,,,,bushels,56,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover_c2,4000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
oats;_spring_silage,8,0.34375,0.017,0.017,,,,600,1550,3850,,,,tons,2000,,,,,,,,,,,,,,,,,,,,,,,,,0
soybean;_mw_30_in_r1,30,1.5,0.025,0.025,,,,600,1600,3850,,,,bu,60,,,,,,,,,,,,,,,,,,,,,,,,,0
wheat;_winter_7in_r1,40,1.7,0.00797,0.00797,,,,600,1550,3850,,,,bushels,60,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover_c3,6000,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
spinach,8100,0.11345679,0.03,0.03,,,,600,1600,,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
